code,name,지방세징수율제고노력도,지방세체납액축소노력도,경상세외수입확충노력도,세외수입체납액축소노력도,탄력세율적용노력도,인건비절감노력도,지방의회경비절감노력도,업무추진비절감노력도,행사축제경비절감노력도,민간이전경비절감노력도
33,충북 충주시,1.0169 ,-0.1900 ,1.0369 ,-0.0443 ,0.9957 ,-0.0301 ,0.1173 ,0.1796 ,0.3663 ,-0.0724 
33,충북 청주시,0.9961 ,-0.3363 ,1.0701 ,-1.2910 ,0.9957 ,-0.0236 ,0.0733 ,0.0498 ,0.1366 ,-0.0078 
33,충북 청원군,1.0065 ,-0.1495 ,0.9991 ,-0.1694 ,0.9972 ,0.0251 ,0.1386 ,0.1134 ,-0.1469 ,0.0530 
33,충북 진천군,0.9835 ,-0.4067 ,1.0925 ,-0.1441 ,0.9990 ,-0.0229 ,0.2194 ,0.1114 ,0.1605 ,-0.0198 
33,충북 증평군,1.0390 ,-0.1713 ,1.0888 ,-0.1107 ,0.9961 ,0.0353 ,0.2396 ,0.1233 ,-0.0643 ,-0.3893 
33,충북 제천시,1.0057 ,-0.2501 ,1.0937 ,-0.2721 ,0.9971 ,0.0018 ,0.0999 ,0.0785 ,-0.4677 ,-0.0538 
33,충북 음성군,0.9966 ,-0.5198 ,1.0840 ,-0.0335 ,1.0000 ,-0.0047 ,0.3316 ,0.0373 ,-1.0185 ,0.1541 
33,충북 옥천군,1.0093 ,-0.1933 ,1.1051 ,-0.1388 ,0.9949 ,0.0096 ,0.3364 ,0.1792 ,-0.1541 ,-0.0234 
33,충북 영동군,1.0160 ,-0.0341 ,1.0631 ,-0.0991 ,0.9925 ,0.0154 ,0.1058 ,0.1117 ,-0.2050 ,0.0253 
33,충북 보은군,0.8992 ,-1.1538 ,1.1156 ,-0.1068 ,1.0000 ,-0.0214 ,0.2425 ,0.1188 ,-0.1281 ,-0.1504 
33,충북 단양군,0.9777 ,-0.5044 ,1.1391 ,-0.0297 ,0.9973 ,0.0117 ,0.4184 ,0.0669 ,-0.3683 ,-0.2537 
33,충북 괴산군,0.9969 ,-0.2001 ,1.0908 ,-0.0168 ,0.9948 ,0.0123 ,0.2214 ,0.1143 ,-0.1829 ,-0.0603 
34,충남 홍성군,1.0340 ,-0.2141 ,0.9989 ,-0.2151 ,0.9937 ,0.0881 ,0.1497 ,0.1864 ,-0.1732 ,0.0117 
34,충남 태안군,1.0260 ,-0.2837 ,1.1086 ,-0.3270 ,0.9934 ,0.0340 ,0.1064 ,0.1318 ,-0.3269 ,-0.2229 
34,충남 청양군,0.9676 ,-0.4031 ,1.0938 ,0.1086 ,0.9934 ,-0.0100 ,0.2139 ,0.0807 ,-0.5034 ,-0.2371 
34,충남 천안시,0.9936 ,-0.3669 ,1.0493 ,-0.1639 ,0.9960 ,0.0652 ,-0.0051 ,0.0888 ,-0.2873 ,0.0152 
34,충남 예산군,1.0134 ,-0.4190 ,1.0472 ,-0.4338 ,0.9936 ,-0.0022 ,0.2627 ,0.0307 ,-0.5264 ,0.2613 
34,충남 아산시,1.0115 ,-0.1929 ,1.1533 ,-0.1892 ,0.9973 ,0.0127 ,0.1046 ,0.1905 ,-0.2363 ,0.0827 
34,충남 서천군,1.0002 ,-0.1211 ,1.0955 ,-0.3580 ,0.9922 ,0.0762 ,0.1262 ,0.0632 ,-0.0045 ,0.0164 
34,충남 서산시,0.9929 ,-0.2468 ,1.0534 ,-0.2489 ,0.9961 ,0.0567 ,0.0560 ,0.0752 ,-0.0159 ,-0.1008 
34,충남 부여군,0.9942 ,-0.2107 ,1.1208 ,-0.0588 ,0.9922 ,0.0185 ,0.3342 ,0.1124 ,0.0594 ,0.0266 
34,충남 보령시,1.0113 ,-0.1612 ,1.0608 ,-0.1022 ,0.9975 ,0.0425 ,0.0597 ,0.2031 ,0.1420 ,0.1033 
